timestamp,mm_precip,temperature
1703286000,0,12.6
1703287800,0,12.8
1703289600,0,13.1
1703291400,0,13.2
1703293200,0,12.7
1703295000,0,12.5
1703296800,0,12.1
1703298600,0,11.3
1703300400,0,10.8
1703302200,0,11.1
1703304000,0,10.9
1703305800,0,10.5
1703307600,0,10.1
1703309400,0,10.3
1703311200,0,10
1703313000,0,10.2
1703314800,0,10.6
1703316600,0,11.2
1703318400,0,11.7
1703320200,0,12.3
1703322000,0,12.9
1703323800,0,13.8
1703325600,0,14.3
1703327400,0,14.9
1703329200,0,15.1
1703331000,0,15.5
1703332800,0,16
1703334600,0,16.3
1703336400,0,16.6
1703338200,0,16.3
1703340000,0,15.9
1703341800,0,15.2
1703343600,0,14.3
1703345400,0,13.2
1703347200,0,13
1703349000,0,12.6
1703350800,0,12.7
1703352600,0,12.3
1703354400,0,12
1703356200,0,12.1
1703358000,0,12.6
1703359800,0,12.6
1703361600,0,12.2
1703363400,0,11.7
1703365200,0,12.4
1703367000,0,12.5
1703368800,0,12.3
1703370600,0,11.7
1703372400,0,11.3
1703374200,0,10.9
1703376000,0,10.6
1703377800,0,10.4
1703379600,0,9.7
1703381400,0,9.9
1703383200,0,9.1
1703385000,0,9.3
1703386800,0,9.1
1703388600,0,9
1703390400,0,9.4
1703392200,0,9.1
1703394000,0,8.6
1703395800,0,8.2
1703397600,0,8.3
1703399400,0,8.3
1703401200,0,8.7
1703403000,0,9.4
1703404800,0,10.5
1703406600,0,11.5
1703408400,0,12.2
1703410200,0,12.8
1703412000,0,13.1
1703413800,0,13.8
1703415600,0,15.2
1703417400,0,16.1
1703419200,0,16.3
1703421000,0,16.3
1703422800,0,15.6
1703424600,0,14.9
1703426400,0,14.6
1703428200,0,13.6
1703430000,0,13
1703431800,0,12
1703433600,0,11.5
1703435400,0,11.3
1703437200,0,11.4
1703439000,0,10.8
1703440800,0,10.1
1703442600,0,9.6
1703444400,0,9.3
1703446200,0,8.8
1703448000,0,8.5
1703449800,0,8.2
1703451600,0,8
1703453400,0,7.5
1703455200,0,7.1
1703457000,0,6.9
1703458800,0,6.8
1703460600,0,6.8
1703462400,0,6.5
1703464200,0,6.5
1703466000,0,6.3
1703467800,0,6.2
1703469600,0,6.1
1703471400,0,6.1
1703473200,0,5.5
1703475000,0,5.5
1703476800,0,5.4
1703478600,0,5.6
1703480400,0,5.3
1703482200,0,5.4
1703484000,0,5.7
1703485800,0,6.3
1703487600,0,7.6
1703489400,0,9.2
1703491200,0,11.8
1703493000,0,13.2
1703494800,0,13.8
1703496600,0,14.6
1703498400,0,15.8
1703500200,0,16.3
1703502000,0,16.7
1703503800,0,17.2
1703505600,0,17.4
1703507400,0,16.8
1703509200,0,16.2
1703511000,0,16
1703512800,0,15.6
1703514600,0,13.9
1703516400,0,12.3
1703518200,0,10.9
1703520000,0,9.5
1703521800,0,9.6
1703523600,0,9.3
1703525400,0,9.1
1703527200,0,8.7
1703529000,0,8.8
1703530800,0,8.3
1703532600,0,8.8
1703534400,0,8.2
1703536200,0,7.9
1703538000,0,7.5
1703539800,0,7.6
1703541600,0,7.3
1703543400,0,7.6
1703545200,0,7.5
1703547000,0,7.3
1703548800,0,7.1
1703550600,0,7
1703552400,0,7.1
1703554200,0,6.8
1703556000,0,6.6
1703557800,0,6.7
1703559600,0,6.9
1703561400,0,7
1703563200,0,7
1703565000,0,6.8
1703566800,0,6.7
1703568600,0,7
1703570400,0,7
1703572200,0,8.5
1703574000,0,9.7
1703575800,0,11.8
1703577600,0,14.8
1703579400,0,15.1
1703581200,0,16.3
1703583000,0,17.5
1703584800,0,18.1
1703586600,0,18.7
1703588400,0,18.1
1703590200,0,18
1703592000,0,17.6
1703593800,0,17.3
1703595600,0,16.7
1703597400,0,16.3
1703599200,0,15.7
1703601000,0,14.4
1703602800,0,13.1
1703604600,0,11.9
1703606400,0,11.2
1703608200,0,10.6
1703610000,0,10.5
1703611800,0,10.1
1703613600,0,10.2
1703615400,0,9.9
1703617200,0,9.8
1703619000,0,9.5
1703620800,0,9.8
1703622600,0,9
1703624400,0,8.9
1703626200,0,9.2
1703628000,0,9.2
1703629800,0,9.3
1703631600,0,8.8
1703633400,0,8.5
1703635200,0,9.4
1703637000,0,9.6
1703638800,0,8.6
1703640600,0,7.7
1703642400,0,7.4
1703644200,0,7.3
1703646000,0,7
1703647800,0,6.5
1703649600,0,6.2
1703651400,0,6.4
1703653200,0,6.4
1703655000,0,6.7
1703656800,0,6.6
1703658600,0,7.1
1703660400,0,8.4
1703662200,0,10.4
1703664000,0,12.4
1703665800,0,13.5
1703667600,0,14.9
1703669400,0,15.8
1703671200,0,16.6
1703673000,0,17.4
1703674800,0,18.1
1703676600,0,17.7
1703678400,0,17.5
1703680200,0,16.8
1703682000,0,16.4
1703683800,0,15.2
1703685600,0,14.6
1703687400,0,13.4
1703689200,0,12.3
1703691000,0,10.9
1703692800,0,10.2
1703694600,0,10
1703696400,0,9.1
1703698200,0,9
1703700000,0,8.8
1703701800,0,8.5
1703703600,0,8
1703705400,0,8.5
1703707200,0,8.5
1703709000,0,8.1
1703710800,0,8.2
1703712600,0,8.7
1703714400,0,8.6
1703716200,0,8.4
1703718000,0,8.9
1703719800,0,8.5
1703721600,0,8.8
1703723400,0,9.1
1703725200,0,9.9
1703727000,0,9.7
1703728800,0,9.1
1703730600,0,8.4
1703732400,0,8.8
1703734200,0,9
1703736000,0,7.9
1703737800,0,8.4
1703739600,0,8.6
1703741400,0,8
1703743200,0,9.3
1703745000,0,10.2
1703746800,0,11.1
1703748600,0,12.4
1703750400,0,12.4
1703752200,0,12.5
1703754000,0,12.6
1703755800,0,13
1703757600,0,14.2
1703759400,0,15.1
1703761200,0,14.8
1703763000,0,14.3
1703764800,0,14.5
1703766600,0,14.6
1703768400,0,14.2
1703770200,0,13.8
1703772000,0,13.5
1703773800,0,12.9
1703775600,0,12.1
1703777400,0,11.5
1703779200,0,10.7
1703781000,0,10.2
1703782800,0,9.8
1703784600,0,10.2
1703786400,0,9.9
1703788200,0,9.6
1703790000,0,9.1
1703791800,0,10
1703793600,0,10.5
1703795400,0,10
1703797200,0,9.7
1703799000,0,9.5
1703800800,0,9
1703802600,0,8.6
1703804400,0,8.1
1703806200,0,7.7
1703808000,0,7.9
1703809800,0,8.3
1703811600,0,8.8
1703813400,0,9
1703815200,0,8.7
1703817000,0,8.3
1703818800,0,8.1
1703820600,0,7.9
1703822400,0,7.5
1703824200,0,7.7
1703826000,0,7.9
1703827800,0,8
1703829600,0,7.8
1703831400,0,8
1703833200,0,8.4
1703835000,0,8.8
1703836800,0,9.5
1703838600,0,10.1
1703840400,0,11.5
1703842200,0,12.4
1703844000,0,13.8
1703845800,0,13.5
1703847600,0,14.6
1703849400,0,14.5
1703851200,0,14.3
1703853000,0,13.9
1703854800,0,13.5
1703856600,0,13.2
1703858400,0,12.9
1703860200,0,12.4
1703862000,0,11.7
1703863800,0,11.4
1703865600,0,11.6
1703867400,0,11.5
1703869200,0,11.4
1703871000,0,11.2
1703872800,0,11
1703874600,0,10.7
1703876400,0,10.6
1703878200,0,10.7
1703880000,0,10.5
1703881800,0,10.9
1703883600,0,10.7
1703885400,0,10.4
1703887200,0,10.4
1703889000,0,9.6
1703890800,0,9.1
1703892600,0,8.5
1703894400,0,8.2
1703896200,0,7.8
1703898000,0,7.2
1703899800,0,7.2
1703901600,0,7.2
1703903400,0,7.1
1703905200,0,6.5
1703907000,0,6.6
1703908800,0,7.1
1703910600,0,7
1703912400,0,6.8
1703914200,0,6.8
1703916000,0,6.6
1703917800,0,6.3
1703919600,0,7.7
1703921400,0,10
1703923200,0,11.5
1703925000,0,12.4
1703926800,0,13.4
1703928600,0,14.4
1703930400,0,14.8
1703932200,0,15.4
1703934000,0,15.6
1703935800,0,16
1703937600,0,16.4
1703939400,0,16.2
1703941200,0,15.6
1703943000,0,15.1
1703944800,0,14.3
1703946600,0,13.1
1703948400,0,12.3
1703950200,0,11.5
1703952000,0,11.3
1703953800,0,10.9
1703955600,0,10.3
1703957400,0,9.8
1703959200,0,9.8
1703961000,0,9.1
1703962800,0,8.8
1703964600,0,9.7
1703966400,0,9.3
1703968200,0,8.9
1703970000,0,8.7
1703971800,0,8.4
1703973600,0,8.7
1703975400,0,9.5
1703977200,0,10.1
1703979000,0,10.4
1703980800,0,10.9
1703982600,0,11.3
1703984400,0,10.7
1703986200,0,10.4
1703988000,0,10.8
1703989800,0,10.9
1703991600,0,10.6
1703993400,0,10.5
1703995200,0,10.1
1703997000,0,8.9
1703998800,0,9
1704000600,0,8.9
1704002400,0,8.4
1704004200,0,8.4
1704006000,0,9.1
1704007800,0,10.7
1704009600,0,12
1704011400,0,12.8
1704013200,0,13.2
1704015000,0,14.7
1704016800,0,16.8
