,year,month,day,hour,mm_precip,temperature
8759,2022,1,1,0,0.0,7.6
8760,2022,1,1,1,0.0,7.300000000000001
8761,2022,1,1,2,0.0,6.9
8762,2022,1,1,3,0.0,6.9
8763,2022,1,1,4,0.05,6.65
8764,2022,1,1,5,0.0,6.1
8765,2022,1,1,6,0.0,6.25
8766,2022,1,1,7,0.0,6.35
8767,2022,1,1,8,0.0,9.600000000000001
8768,2022,1,1,9,0.0,11.95
8769,2022,1,1,10,0.0,13.399999999999999
8770,2022,1,1,11,0.0,15.85
8771,2022,1,1,12,0.0,16.65
8772,2022,1,1,13,0.0,17.1
8773,2022,1,1,14,0.0,17.2
8774,2022,1,1,15,0.0,15.9
8775,2022,1,1,16,0.0,14.2
8776,2022,1,1,17,0.0,13.35
8777,2022,1,1,18,0.0,12.3
8778,2022,1,1,19,0.0,11.7
8779,2022,1,1,20,0.0,11.2
8780,2022,1,1,21,0.0,10.25
8781,2022,1,1,22,0.0,10.0
8782,2022,1,1,23,0.1,10.05
8783,2022,1,2,0,0.0,10.350000000000001
8784,2022,1,2,1,0.0,9.649999999999999
8785,2022,1,2,2,0.0,8.100000000000001
8786,2022,1,2,3,0.0,6.45
8787,2022,1,2,4,0.0,7.449999999999999
8788,2022,1,2,5,0.0,7.5
8789,2022,1,2,6,0.0,7.0
8790,2022,1,2,7,0.0,6.25
8791,2022,1,2,8,0.0,8.55
8792,2022,1,2,9,0.0,10.649999999999999
8793,2022,1,2,10,0.0,12.7
8794,2022,1,2,11,0.0,13.55
8795,2022,1,2,12,0.0,14.25
8796,2022,1,2,13,0.0,15.1
8797,2022,1,2,14,0.0,14.399999999999999
8798,2022,1,2,15,0.0,13.75
8799,2022,1,2,16,0.0,12.6
8800,2022,1,2,17,0.0,12.45
8801,2022,1,2,18,0.0,12.75
8802,2022,1,2,19,0.0,12.55
8803,2022,1,2,20,0.0,12.350000000000001
8804,2022,1,2,21,0.0,11.45
8805,2022,1,2,22,0.0,10.05
8806,2022,1,2,23,0.0,9.45
8807,2022,1,3,0,0.0,9.1
8808,2022,1,3,1,0.0,8.85
8809,2022,1,3,2,0.0,7.8999999999999995
8810,2022,1,3,3,0.0,7.4
8811,2022,1,3,4,0.0,7.1
8812,2022,1,3,5,0.0,7.0
8813,2022,1,3,6,0.05,6.65
8814,2022,1,3,7,0.0,6.9
8815,2022,1,3,8,0.0,8.55
8816,2022,1,3,9,0.0,10.7
8817,2022,1,3,10,0.0,12.75
