Any,Data,Nom del festiu
2020,01/01/2020,Cap d'Any
2020,06/01/2020,Reis
2020,10/04/2020,Divendres Sant
2020,13/04/2020,Dilluns de Pasqua Florida
2020,01/05/2020,Festa del Treball
2020,24/06/2020,Sant Joan
2020,15/08/2020,L'Assumpció
2020,11/09/2020,Diada Nacional de Catalunya
2020,24/09/2020,Merce
2020,12/10/2020,Festa Nacional d'Espanya
2020,08/12/2020,La Immaculada
2020,25/12/2020,Nadal
2020,26/12/2020,Sant Esteve
2021,01/01/2021,Cap d'Any
2021,06/01/2021,Reis
2021,02/04/2021,Divendres Sant
2021,05/04/2021,Dilluns de Pasqua Florida
2021,01/05/2021,Festa del Treball
2021,24/06/2021,Sant Joan
2021,11/09/2021,Diada Nacional de Catalunya
2021,24/09/2021,Merce
2021,12/10/2021,Festa Nacional d'Espanya
2021,01/11/2021,Tots Sants
2021,06/12/2021,Dia de la Constitució
2021,08/12/2021,La Immaculada
2021,25/12/2021,Nadal
2022,01/01/2022,Cap d'Any
2022,06/01/2022,Reis
2022,15/04/2022,Divendres Sant
2022,18/04/2022,Pasqua Florida
2022,06/06/2022,Pasqua Granada
2022,24/06/2022,Sant Joan
2022,15/08/2022,L'Assumpció
2022,24/09/2022,Merce
2022,26/09/2022,Merce
2022,12/10/2022,Festa Nacional d'Espanya
2022,01/11/2022,Tots Sants
2022,06/12/2022,Dia de la Constitució
2022,08/12/2022,La Immaculada
2022,26/12/2022,Sant Esteve
2023,06/01/2023,Reis
2023,07/04/2023,Divendres Sant
2023,10/04/2023,Pasqua Florida
2023,01/05/2023,Festa del Treball
2023,24/06/2023,Sant Joan
2023,15/08/2023,L'Assumpció
2023,11/09/2023,Diada Nacional de Catalunya
2023,25/09/2023,Merce
2023,12/10/2023,Festa Nacional d'Espanya
2023,01/11/2023,Tots Sants
2023,06/12/2023,Dia de la Constitució
2023,08/12/2023,La Immaculada
2023,25/12/2023,Nadal
2023,26/12/2023,Sant Esteve
2024,01/01/2024,Cap d'Any
2024,06/01/2024,Reis
2024,29/03/2024,Divendres Sant
2024,01/04/2024,Dilluns de Pasqua Florida
2024,01/05/2024,Festa del Treball
2024,24/06/2024,Sant Joan
2024,15/08/2024,L'Assumpció
2024,11/09/2024,Diada Nacional de Catalunya
2024,12/10/2024,Festa Nacional d'Espanya
2024,01/11/2024,Tots Sants
2024,06/12/2024,Dia de la Constitució
2024,25/12/2024,Nadal
2024,26/12/2024,Sant Esteve
2025,01/01/2025,Cap d'Any
2025,06/01/2025,Reis
2025,18/04/2025,Divendres Sant
2025,21/04/2025,Dilluns de Pasqua Florida
2025,01/05/2025,Festa del Treball
2025,24/06/2025,Sant Joan
2025,15/08/2025,L'Assumpció
2025,11/09/2025,Diada Nacional de Catalunya
2025,01/11/2025,Tots Sants
2025,06/12/2025,Dia de la Constitució
2025,08/12/2025,La Immaculada
2025,25/12/2025,Nadal
2025,26/12/2025,Sant Esteve
