iter	RMSE
0	0.2622747111
1	0.2420828154
2	0.2243888334
3	0.2088834541
4	0.1953185727
5	0.183506532
6	0.1733215492
7	0.164552001
8	0.1570064551
9	0.1505629082
10	0.1450983649
11	0.1403885844
12	0.1364709064
13	0.1331498223
14	0.1303087115
15	0.1279156564
16	0.1258711337
17	0.1241390651
18	0.1227097102
19	0.1215081703
20	0.1204716251
21	0.1195782325
22	0.1188040424
23	0.1181343802
24	0.1175704118
25	0.1170724648
26	0.1166502473
27	0.1162815755
28	0.1159488755
29	0.1156366104
30	0.1153262239
31	0.1150679628
32	0.114861979
33	0.1146101866
34	0.1144292561
35	0.1142018275
36	0.1140189062
37	0.1138446779
38	0.1137055799
39	0.1135551876
40	0.1134378291
41	0.1133085873
42	0.1131991319
43	0.1130552141
44	0.1129210699
45	0.1128528865
46	0.1127646935
47	0.1126726248
48	0.1125821487
49	0.1125194873
50	0.1124204276
51	0.112355479
52	0.1122604751
53	0.1122175062
54	0.1121561139
55	0.1121183098
56	0.1120615452
57	0.1119461322
58	0.1118915931
59	0.1118377207
60	0.1117793057
61	0.1117210794
62	0.1116426101
63	0.1116128687
64	0.1115479651
65	0.1114863474
66	0.1114408367
67	0.1113409972
68	0.1112893005
69	0.1112412597
70	0.1112163762
71	0.1111927005
72	0.1111608164
73	0.1111122512
74	0.1110803597
75	0.1110445177
76	0.1110169617
77	0.1109753814
78	0.1109123569
79	0.110889545
80	0.1108567767
81	0.1107914978
82	0.1107390515
83	0.1107094577
84	0.1106649746
85	0.1106360019
86	0.1105949723
87	0.1105402822
88	0.1104903682
89	0.1104528587
90	0.1104147226
91	0.1103764222
92	0.1103526041
93	0.1103300481
94	0.1102993629
95	0.1102750164
96	0.110248909
97	0.110226602
98	0.1102087833
99	0.1101636353
100	0.1101262659
101	0.1100955481
102	0.1100829191
103	0.1100580643
104	0.1100303518
105	0.110001989
106	0.1099776599
107	0.1099469894
108	0.1099237082
109	0.109887822
110	0.1098738883
111	0.1098497087
112	0.1098270359
113	0.1098062673
114	0.109782003
115	0.1097592679
116	0.1097186002
117	0.1096964243
118	0.1096714152
119	0.1096323459
120	0.1096114041
121	0.1095994344
122	0.1095670102
123	0.1095433309
124	0.1095230661
125	0.1094863646
126	0.1094685687
127	0.1094500471
128	0.1094319622
129	0.1094163199
130	0.1094008411
131	0.109379696
132	0.1093490718
133	0.1093138048
134	0.1092999735
135	0.1092804643
136	0.109253916
137	0.1092374975
138	0.1092204651
139	0.1092066273
140	0.1091948765
141	0.1091834936
142	0.1091558612
143	0.1091407523
144	0.1091261285
145	0.1091128194
146	0.1091013357
147	0.109086401
148	0.1090693182
149	0.1090465764
150	0.1090271343
151	0.1090138236
152	0.1089989679
153	0.1089878002
154	0.1089738489
155	0.1089614173
156	0.1089532649
157	0.1089371609
158	0.1089180544
159	0.1088969749
160	0.1088855669
161	0.1088725222
162	0.1088577773
163	0.1088442073
164	0.1088333369
165	0.1088161093
166	0.1088067928
167	0.1087947238
168	0.1087850329
169	0.1087762628
170	0.1087552492
171	0.1087468101
172	0.1087327846
173	0.1087201283
174	0.1087023218
175	0.1086852727
176	0.10867143
177	0.1086576832
178	0.1086482737
179	0.1086354842
180	0.1086240539
181	0.108615549
182	0.1086040946
183	0.1085921028
184	0.1085837302
185	0.1085746126
186	0.1085597917
187	0.1085522927
188	0.1085442827
189	0.1085249789
190	0.1085113886
191	0.1084993674
192	0.1084904938
193	0.1084832687
194	0.1084733779
195	0.1084591636
196	0.1084476322
197	0.1084350398
198	0.1084261859
199	0.1084091612
200	0.108398398
201	0.1083891444
202	0.1083778005
203	0.1083673122
204	0.1083596692
205	0.1083482877
206	0.1083375092
207	0.1083317023
208	0.1083237376
209	0.1083171526
210	0.1083077662
211	0.1082954019
212	0.1082844514
213	0.1082717232
214	0.108264315
215	0.1082538072
216	0.108241407
217	0.1082213836
218	0.108209477
