iter	Passed	Remaining
0	157	157139
1	475	237094
2	949	315516
3	1333	332139
4	1577	313898
5	1738	287979
6	1917	271942
7	2109	261581
8	2407	265078
9	2681	265432
10	3025	272016
11	3301	271801
12	3564	270664
13	3764	265151
14	3930	258070
15	4121	253472
16	4272	247036
17	4445	242512
18	4677	241516
19	4874	238851
20	5158	240481
21	5453	242446
22	5684	241477
23	5910	240372
24	6081	237159
25	6256	234386
26	6457	232693
27	6650	230873
28	6841	229057
29	7061	228310
30	7276	227441
31	7503	226995
32	7798	228518
33	8036	228342
34	8261	227794
35	8488	227297
36	8697	226358
37	8920	225840
38	9129	224961
39	9413	225934
40	9596	224453
41	9847	224620
42	10056	223813
43	10267	223078
44	10484	222510
45	10657	221035
46	10839	219778
47	11049	219138
48	11342	220132
49	11565	219742
50	11833	220198
51	12019	219115
52	12179	217627
53	12330	216003
54	12521	215145
55	12662	213459
56	12837	212386
57	13062	212150
58	13257	211453
59	13548	212254
60	13750	211672
61	13958	211183
62	14139	210295
63	14304	209207
64	14479	208281
65	14668	207580
66	14842	206683
67	15122	207267
68	15336	206927
69	15555	206661
70	15719	205682
71	15888	204783
72	16062	203970
73	16227	203065
74	16386	202095
75	16538	201068
76	16704	200238
77	16881	199542
78	17090	199242
79	17239	198256
80	17392	197330
81	17587	196899
82	17768	196310
83	17953	195774
84	18135	195224
85	18321	194722
86	18493	194072
87	18654	193331
88	18819	192636
89	19117	193298
90	19322	193011
91	19547	192927
92	19818	193282
93	19996	192727
94	20177	192218
95	20357	191699
96	20515	190985
97	20711	190627
98	20918	190377
99	21135	190220
100	21362	190151
101	21538	189623
102	21735	189288
103	21910	188768
104	22086	188257
105	22226	187456
106	22383	186811
107	22552	186270
108	22697	185533
109	22850	184882
110	23041	184543
111	23206	183997
112	23377	183504
113	23578	183246
114	23709	182457
115	23870	181910
116	24017	181260
117	24148	180503
118	24287	179807
119	24462	179388
120	24590	178637
121	24768	178250
122	24947	177879
123	25129	177525
124	25302	177119
125	25528	177081
126	25795	177320
127	25977	176972
128	26162	176650
129	26349	176337
130	26508	175847
131	26663	175334
132	26849	175026
133	27042	174770
134	27204	174313
135	27432	174277
136	27666	174281
137	27899	174269
138	28123	174200
139	28345	174121
140	28497	173610
141	28700	173412
142	28857	172945
143	29015	172481
144	29210	172242
145	29417	172074
146	29558	171520
147	29757	171305
148	29878	170647
149	30038	170217
150	30177	169674
151	30334	169231
152	30494	168818
153	30650	168380
154	30801	167916
155	30935	167368
156	31085	166908
157	31253	166550
158	31400	166088
159	31583	165813
160	31711	165255
161	31870	164861
162	32067	164665
163	32223	164262
164	32391	163922
165	32684	164209
166	32814	163680
167	32972	163290
168	33073	162628
169	33222	162202
170	33380	161827
171	33504	161290
172	33648	160849
173	33771	160315
174	33879	159717
175	34021	159284
176	34136	158724
177	34281	158309
178	34419	157869
179	34564	157458
180	34684	156940
181	34814	156474
182	34922	155910
183	35049	155435
184	35186	155010
185	35310	154532
186	35439	154076
187	35576	153660
188	35683	153116
189	35817	152693
190	35943	152243
191	36061	151757
192	36193	151339
193	36317	150885
194	36466	150539
195	36608	150171
196	36737	149748
197	36887	149412
198	37016	148996
199	37143	148575
200	37279	148190
201	37405	147769
202	37571	147508
203	37698	147099
204	37826	146692
205	37956	146299
206	38107	145987
207	38221	145537
208	38383	145270
209	38526	144933
210	38665	144582
211	38802	144226
212	38961	143957
213	39198	143972
214	39341	143642
215	39562	143595
216	39783	143549
217	39929	143233
218	40074	142915
219	40207	142552
220	40375	142318
221	40528	142031
222	40660	141674
223	40795	141326
224	40920	140949
225	41042	140560
226	41202	140306
227	41295	139825
228	41423	139466
229	41566	139157
230	41767	139045
231	41886	138658
232	42046	138412
233	42190	138110
234	42329	137794
235	42499	137583
236	42645	137294
237	42786	136988
238	42949	136755
239	43161	136676
240	43344	136507
241	43564	136455
242	43735	136245
243	43916	136069
244	44111	135934
245	44263	135668
246	44449	135509
247	44647	135381
248	44822	135187
249	44999	134997
250	45142	134708
251	45325	134536
252	45572	134555
253	45819	134571
254	46131	134776
255	46404	134864
256	46581	134669
257	46744	134434
258	46893	134162
259	47094	134038
260	47282	133876
261	47503	133806
262	47659	133555
263	47812	133294
264	47965	133035
265	48126	132800
266	48289	132568
267	48424	132264
268	48565	131975
269	48704	131683
270	48845	131396
271	48994	131132
272	49148	130881
273	49323	130688
274	49669	130945
275	49815	130674
276	49981	130456
277	50149	130245
278	50356	130133
279	50537	129954
280	50722	129785
281	50889	129570
282	51055	129353
283	51211	129110
284	51384	128912
285	51572	128749
286	51799	128686
287	52056	128694
288	52304	128679
289	52532	128613
290	52746	128511
291	52900	128264
292	53074	128067
293	53507	128491
294	53779	128523
295	54023	128488
296	54356	128662
297	54566	128542
298	54734	128323
299	54912	128129
300	55036	127808
301	55210	127605
302	55410	127462
303	55676	127469
304	55918	127421
305	56087	127204
306	56233	126938
307	56465	126863
308	56592	126554
309	56725	126259
310	56850	125948
311	57001	125696
312	57125	125384
313	57257	125091
314	57398	124818
315	57565	124604
316	57729	124382
317	57850	124070
318	58014	123848
319	58140	123548
320	58324	123371
321	58431	123032
322	58565	122751
323	58708	122490
324	58838	122203
325	58970	121921
326	59092	121618
327	59205	121299
328	59329	121004
329	59452	120706
330	59581	120423
331	59715	120150
332	59864	119909
333	60023	119688
334	60224	119550
335	60354	119272
